Summary,Issue Type,Status,Labels,Description
"Health & Education content coverage audit",Task,Done,audit,"Mapped the 275-item catalogue against topic tags to quantify Health vs. Education coverage; found Health is ~51% of the catalogue (mostly video-based) while genuine Education-sector content is only 2 items."
"Health/Education gap deep-dive + CAVE/VR project recommendations",Task,Done,audit,"Identified specific gaps (0% headset coverage for Physical & Rehab, incomplete Health Care Scenario series) and proposed CAVE/VR project ideas plus prioritized quick wins."
"PDF cross-check for missing learning objectives",Task,Done,audit,"Compared all 275 items against the source PDF; found only 1 item (Fast-Fashion Takeover) plus 2 related items (Tork VR Clean Hands x2) had objectives lost in the original scrape, and fixed them."
"Full catalogue data-quality pass",Task,Done,audit,"Systematically scanned all 282 items for scrape artifacts (creator names leaking into descriptions, truncated taglines, merged tags); found and fixed 7 more broken records."
"Fix Fast-Fashion Takeover record",Task,Done,data-cleanup,"Recovered lost learning objectives, corrected garbled tags/creator field, fixed a truncated tagline."
"Fix Tork VR Clean Hands records (x2)",Task,Done,data-cleanup,"Recovered a missing learning objective that had leaked into the description text."
"Strip .mp4 from video titles",Task,Done,data-cleanup,"Cleaned 187 item names that had raw file extensions in their display titles."
"Split 5 merged multi-file catalogue entries into 12 items",Task,Done,data-cleanup,"Used rendered PDF pages (installed Poppler) to correctly separate items like 'ICU4 ICU5' and 'OperatingTheatre Resus 2' into distinct, accurately described entries."
"Fix 7 additional scrape bugs",Task,Done,data-cleanup,"Corrected 'Created by' text stuck in descriptions, a merged tag pair, and two truncated taglines (Escape!, Impulse) found in the full data-quality pass."
"Re-tag 5 mistagged health items",Task,Done,data-cleanup,"Removed the incorrect 'Teaching & Study Skills' topic from Bodyswaps, ExR, Manual Handling VR Quiz, BLISS, and Mental Health Quiz."
"Refactor Help & How-To into categorized clickable tiles",Task,Done,help-howto,"Replaced the flat guide list with a tile grid grouped by CAVE / Meta headsets / Antser headsets / General, opening full detail in the existing side drawer."
"Rework Run Sheet rows to show full tile info",Task,Done,run-sheet,"Added thumbnail, tags, facts, and full description to each run-sheet row, not just name and path."
"Remove objectives, label Launch Path, fit 3 items per printed page",Task,Done,run-sheet,"Trimmed the run sheet rework for print, added a 'Launch Path' label, and tightened sizing for print."
"Restore full (uncapped) descriptions in Run Sheet",Task,Done,run-sheet,"Removed the 2-line print clamp on descriptions per feedback that they needed to show in full."
"Add session time total to status bar",Task,Done,run-sheet,"Sums each item's time field and shows '~52 min total' next to the run count."
"Add print-only header (Date / Facilitator / Group)",Task,Done,run-sheet,"Blank fields that only appear when printing, turning the sheet into a paper record."
"Rename print header to XR Session",Task,Done,run-sheet,"Shortened from 'XR Resource Finder - Session Run Sheet'."
"Add session notes field with print-only-if-filled behaviour",Task,Done,run-sheet,"Free-text note box that only appears on the printed sheet when it has content."
"Fix note not updating on print without a refresh",Bug,Done,run-sheet,"Switched to a live DOM update instead of relying on a full re-render, so print always reflects the latest note."
"Add Launch Path TBA placeholder",Task,Done,run-sheet,"Empty launch paths now show a visible amber 'TBA' flag instead of disappearing entirely."
"Add facilitator launch notes to all 216 videos",Task,Done,facilitator-notes,"Step-by-step Gener8 instructions added as a new facilitatorNotes field."
"Improve and reformat facilitator note wording",Task,Done,facilitator-notes,"Rewrote for clarity, then converted to a 3-step bullet list matching the rest of the app's style."
"Write facilitator notes for all 18 VR headset apps",Task,Done,facilitator-notes,"Base launch steps plus conditional callouts (room-scale warning, runtime heads-up, seated/meditation note) driven by existing data fields."
"Set launch path to Library for all headset items",Task,Done,facilitator-notes,"Replaced the TBA placeholder now that the real launch location was confirmed."
"Replace header logo with Manchester Met logo",Task,Done,branding-ui,"Swapped the 3 CSS bars for ManMetLogo.png, then the transparent flower emblem, with dark-mode invert handling."
"Update header subheading to CAVE & VR Resources",Task,Done,branding-ui,"Changed from 'CAVE & VR headsets'."
"Add Google Earth logo as tile image",Task,Done,branding-ui,"Embedded the provided logo as the thumbnail for the Google Earth catalogue item."
"Add YouTube logo as tile image",Task,Done,branding-ui,"Embedded the provided logo for the YouTube 360 video item, distinct from the existing YouTube VR screenshot."
"Change Read the full description to a single expanding field",Bug,Done,branding-ui,"Removed the duplicate-text bug where both the truncated and full text showed at once."
"Rename drawer heading What happens to Description",Task,Done,branding-ui,"Simple label change for clarity."
"Keyboard navigation for Run Sheet rows",Task,Done,code-quality,"Extended arrow-key/Enter navigation (already working for Help tiles) to run-sheet rows."
"Add Import JSON for Mine entries",Task,Done,code-quality,"Closed the export-only loop so local entries can be shared and re-imported."
"Dead code & consistency cleanup",Task,Done,code-quality,"Removed unused blurb field, replaced the one inline onclick with the standard delegated handler, added standard line-clamp alongside -webkit-line-clamp in 4 places."
